site_id,local_id,asset_id,x_make,x_model,asset_type,x_tonnage,x_evap_hp,x_eer,x_refrig_type,year,age,x_economizer,x_vfd,x_cmp_stg,x_condition,strategy,cost,n_make,n_model,n_tonnage,n_evap_hp,n_eer,n_economizer,n_vfd,n_cmp_stg
Shawnee,166,Shawnee-166,Carrier,48TCFD12A2A6A0A0A0,PKG,10,3.7,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Carrier,48TCFD12A2A6A0A0A0,10,3.7,11.1,FALSE,TRUE,2
Anderson,27,Anderson-27,Trane,THC120E4RGA0RD0A1A1B001,PKG,10,3.75,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Trane,THC120E4RGA0RD0A1A1B001,10,3.75,11.75,FALSE,TRUE,2
Tulsa,90,Tulsa-90,,,PKG,8.5,1.5,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,ZXG09D4B3AA1A111A2,8.5,1.5,11,FALSE,TRUE,2
Lowry,62,Lowry-62,,,PKG,7.5,2,10.98092265,,2001,,FALSE,FALSE,1,,Replace,,York,ZXG08D4B3AA1A111A2,7.5,2,11,FALSE,TRUE,2
Shawnee,112,Shawnee-112,,,CDU,7.5,1.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,YC090C00A4AAA5 / NL090C00B2BAA2 ,7.5,1.5,11.9,FALSE,TRUE,1
Shawnee,117,Shawnee-117,,,CDU,7.5,1.5,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,YC090C00A4AAA5 / NL090C00B2BAA2 ,7.5,1.5,11.9,FALSE,TRUE,1
Shawnee,136,Shawnee-136,,,PKG,7.5,2,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,ZXG08D4B3AA1A111A2,7.5,2,11,FALSE,TRUE,2
Tulsa,80,Tulsa-80,,,PKG,7.5,2,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,ZXG08D4B3AA1A111A2,7.5,2,11,FALSE,TRUE,2
Tulsa,83,Tulsa-83,,,PKG,7.5,2,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,ZXG08D4B3AA1A111A2,7.5,2,11,FALSE,TRUE,2
Tulsa,98,Tulsa-98,,,CDU,7.5,1.5,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,YC090C00A4AAA5 / NL090C00B2BAA2 ,7.5,1.5,11.9,FALSE,TRUE,1
Lowry,57,Lowry-57,Trane,YSC090ZE4,PKG,7.5,1.5,12.4423883,,2011,,FALSE,FALSE,1,,Retrofit,,Trane,YSC090ZE4,7.5,1.5,10,FALSE,TRUE,2
Shawnee,128,Shawnee-128,Carrier,38AUZA08A0A6A0A0A0,CDU,7.5,1.5,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,38AUZA08A0A6A0A0A0,7.5,1.5,11.2,FALSE,TRUE,2
Anderson,42,Anderson-42,,,CDU,5,0.75,14.41407187,,1983,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Lowry,48,Lowry-48,,,CDU,6,1.5,11.14814482,,2000,,FALSE,FALSE,1,,Replace,,York,YC090C00A4AAA5 / NL090C00B2BAA2 ,6,1.5,11.9,FALSE,TRUE,1
Lowry,49,Lowry-49,,,CDU,6,1.5,11.14814482,,2000,,FALSE,FALSE,1,,Replace,,York,YC090C00A4AAA5 / NL090C00B2BAA2 ,6,1.5,11.9,FALSE,TRUE,1
Anderson,40,Anderson-40,,,CDU,5,0.75,10.98092265,,2001,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Anderson,41,Anderson-41,,,CDU,5,0.75,10.33674385,,2005,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Tulsa,101,Tulsa-101,Trane,YSC060E4HA0000,PKG,5,1,13.41907556,,2006,,FALSE,FALSE,1,,Retrofit,,Trane,YSC060E4HA0000,5,1,9.43,FALSE,TRUE,2
Shawnee,110,Shawnee-110,,,CDU,5,0.75,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Anderson,24,Anderson-24,,,CDU,5,0.75,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Anderson,38,Anderson-38,,,CDU,5,0.75,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Shawnee,119,Shawnee-119,,,CDU,5,0.75,9.878532789,,2008,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Shawnee,120,Shawnee-120,,,CDU,5,0.75,9.878532789,,2008,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Shawnee,121,Shawnee-121,,,CDU,5,0.75,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Shawnee,125,Shawnee-125,,,CDU,5,0.75,9.878532789,,2008,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Shawnee,133,Shawnee-133,,,PKG,5,2.4,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,ZQG06D4A1AA1A111A3,5,2.4,12.1,FALSE,TRUE,1
Shawnee,113,Shawnee-113,Carrier,24ABB360G660,CDU,5,1,13.01952258,,2008,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB360G660,5,1,12,FALSE,TRUE,1
Shawnee,114,Shawnee-114,Carrier,24ABB360G660,CDU,5,1,13.01952258,,2008,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB360G660,5,1,12,FALSE,TRUE,1
Anderson,26,Anderson-26,,,PKG,5,2.4,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,ZQG06D4A1AA1A111A3,5,2.4,12.1,FALSE,TRUE,1
Anderson,32,Anderson-32,,,PKG,5,2.4,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,ZQG06D4A1AA1A111A3,5,2.4,12.1,FALSE,TRUE,1
Anderson,39,Anderson-39,,,CDU,5,0.75,9.878532789,,2008,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Tulsa,89,Tulsa-89,Trane,YSC072F4RHA1WD0A1A1,PKG,6,1,11.36373595,,2017,,FALSE,FALSE,1,,Retrofit,,Trane,YSC072F4RHA1WD0A1A1,6,1,10.83,FALSE,TRUE,2
Tulsa,77,Tulsa-77,,,PKG,5,2,9.584399476,,2010,,FALSE,FALSE,1,,Replace,,York,ZXG08D4B3AA1A111A2,5,2,11,FALSE,TRUE,2
Anderson,36,Anderson-36,Trane,4TTA3060A4000BA,CDU,5,1,12.6318663,,2010,,FALSE,FALSE,1,,Retrofit,,Trane,4TTA3060A4000BA,5,1,9.93,FALSE,TRUE,1
Shawnee,105,Shawnee-105,Carrier,24ABB360G660,CDU,5,1,12.4423883,,2011,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB360G660,5,1,12,FALSE,TRUE,1
Shawnee,126,Shawnee-126,Carrier,24ABB360A620,CDU,5,1,12.4423883,,2011,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB360A620,5,1,12,FALSE,TRUE,1
Shawnee,122,Shawnee-122,Carrier,24ABB360A620,CDU,5,1,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB360A620,5,1,12,FALSE,TRUE,1
Shawnee,123,Shawnee-123,Carrier,24ABB360A620,CDU,5,1,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB360A620,5,1,12,FALSE,TRUE,1
Shawnee,102,Shawnee-102,Carrier,24ABB360A620,CDU,5,1,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB360A620,5,1,12,FALSE,TRUE,1
Anderson,37,Anderson-37,,,CDU,5,0.75,9.299023981,,2012,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,5,0.75,11.18,FALSE,TRUE,1
Anderson,45,Anderson-45,Trane,4TTA3060D4000CA,CDU,5,1,12.25575248,,2012,,FALSE,FALSE,1,,Retrofit,,Trane,4TTA3060D4000CA,5,1,10.18,FALSE,TRUE,1
Shawnee,103,Shawnee-103,Carrier,24ABB360A620,CDU,5,1,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB360A620,5,1,12,FALSE,TRUE,1
Shawnee,108,Shawnee-108,Carrier,24ABB360A620,CDU,5,1,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB360A620,5,1,12,FALSE,TRUE,1
